ident,name,latitude_deg,longitude_deg,elevation_ft
K09A,Butler-Choctaw County Airport,32.1193008423,-88.1275024414,134
K09J,Jekyll Island Airport,31.07449913,-81.42780304,11
K09K,Sargent Municipal Airport,41.637001037597656,-99.34040069580078,2313
K09M,Charleston Municipal Airport,33.99150085449219,-90.0781021118164,175
K09R,Tyler County Airport,30.77519989013672,-94.45850372314453,388
K0A2,Hester Memorial Airport,34.09040069580078,-82.56790161132812,517
K0A3,Smithville Municipal Airport,35.98529815673828,-85.8093032836914,1084
K0A4,Johnson City Stolport Airport,36.36370086669922,-82.30899810791016,1550
K0A7,Hendersonville Airport,35.30759811401367,-82.43319702148438,2084
K0A8,Bibb County Airport,32.936798095703125,-87.08889770507812,251
K0A9,Elizabethton Municipal Airport,36.37120056152344,-82.17330169677734,1593
K0B1,Bethel Regional Airport,44.425201,-70.809896,654
K0B4,Hartington Municipal Airport,42.603599548339844,-97.25260162353516,1387
K0B5,Turners Falls Airport,42.5914001465,-72.5227966309,356
K0B8,Elizabeth Field,41.25130081179999,-72.0316009521,9
K0C0,Dacy Airport,42.40250015258789,-88.63240051269531,913
K0C4,Pender Municipal Airport,42.11389923,-96.72889709,1345
K0D8,Gettysburg Municipal Airport,44.98669815,-99.95279694,2062
K0E0,Moriarty Municipal Airport,34.9751,-106.0028,6199
K0E8,Crownpoint Airport,35.71770095825195,-108.2020034790039,6696
K0F2,Bowie Municipal Airport,33.60169982910156,-97.77559661865234,1101
K0F4,Loup City Municipal Airport,41.29029846191406,-98.9906005859375,2071
K0F7,Fountainhead Lodge Airpark,35.38869857788086,-95.5999984741211,670
K0F9,Tishomingo Airpark,34.19850158691406,-96.67449951171875,647
K0G3,Tecumseh Municipal Airport,40.3993988,-96.17140198,1306
K0G6,Williams County Airport,41.46739959716797,-84.50659942626953,730
K0G7,Finger Lakes Regional Airport,42.88359832763672,-76.78109741210938,492
K0H1,Trego Wakeeney Airport,39.004501342773,-99.89289855957,2435
K0I8,Cynthiana-Harrison County Airport,38.3661994934,-84.2833023071,721
K0J4,Florala Municipal Airport,31.042499542236328,-86.31159973144531,314
K0J6,Headland Municipal Airport,31.36429977,-85.3117981,359
K0J9,Flying V Airport,40.867801666259766,-97.35420227050781,1585
K0K7,Humboldt Municipal Airport,42.736099243199995,-94.2452011108,1093
K0L7,Jean Airport,35.7682991027832,-115.33000183105469,2832
K0L9,Echo Bay Airport,36.311100006103516,-114.46399688720703,1535
K0M0,Billy Free Municipal Airport,33.88479995727539,-91.53450012207031,163
K0M1,Scott Field,35.63779830932617,-88.12799835205078,520
K0M2,Reelfoot Lake Airport,36.47529983520508,-89.34619903564453,289
K0M3,John A Baker Field,35.54600143432617,-87.59729766845703,972
K0M4,Benton County Airport,36.01110076904297,-88.12329864501953,468
K0M5,Humphreys County Airport,36.116600036621094,-87.73819732666016,756
K0M8,Byerley Airport,32.82590103149414,-91.18769836425781,106
K0M9,Delhi Municipal Airport,32.410701751708984,-91.49870300292969,91
K0O2,Baker Airport,35.285499572753906,-116.08300018310547,922
K0Q5,Shelter Cove Airport,40.028167,-124.074305,73
K0R0,Columbia-Marion County Airport,31.297000885,-89.8127975464,265
K0R1,Atmore Municipal Airport,31.016199111938477,-87.4468002319336,287
K0R3,Abbeville Chris Crusta Memorial Airport,29.97579956,-92.084198,16
K0R4,Concordia Parish Airport,31.562000274658203,-91.50650024414062,54
K0R5,David G Joyce Airport,31.963699340820312,-92.6603012084961,146
K0R6,Hampton Municipal Airport,33.52259826660156,-92.46029663085938,178
K0S0,Lind Airport,46.97679901123047,-118.58699798583984,1507
K0S7,Dorothy Scott Airport,48.95899963378906,-119.41200256347656,1064
K0S9,Jefferson County International Airport,48.0537986755,-122.810997009,108
K0V3,Pioneer Village Field,40.51490020751953,-98.94560241699219,2160
K0V4,Brookneal/Campbell County Airport,37.141700744599994,-79.01640319820001,596
K0V6,Mission Sioux Airport,43.306901,-100.627997,2605
K0V7,Kayenta Airport,36.70970153808594,-110.23699951171875,5710
K0VG,Lee County Airport,36.65409851074219,-83.2177963256836,1411
K0W3,Harford County Airport,39.56679916381836,-76.20240020751953,409
K10C,Galt Field,42.40290069580078,-88.3750991821289,875
K10G,Holmes County Airport,40.537200927734375,-81.95439910888672,1218
K10U,Owyhee Airport,41.95320129394531,-116.18800354003906,5374
K11,Sam Riggs Airpark,36.21820068359375,-95.65190124511719,580
K11A,Clayton Municipal Airport,31.88330078125,-85.48490142822266,435
K11R,Brenham Municipal Airport,30.21899986,-96.3742981,307
K11V,Easton/Valley View Airport,40.330501556399994,-104.60900116,4820
K12D,Tower Municipal Airport,47.81829833984375,-92.29170227050781,1369
K12G,Shelby Community Airport,40.87289810180664,-82.69740295410156,1120
K12J,Brewton Municipal Airport,31.050600051879883,-87.06559753417969,99
K12K,Superior Municipal Airport,40.0463981628418,-98.06009674072266,1691
K12N,Aeroflex-Andover Airport,41.0085983276,-74.7379989624,583
K12V,Ona Airpark,38.44089889526367,-82.20079803466797,572
K12Y,Le Sueur Municipal Airport,44.4375,-93.9126968383789,868
K13,Mohawk Valley Airport,42.868099212646484,-74.02870178222656,240
K13C,Lakeview-Airport-Griffith Field,43.4520988464,-85.26480102539999,969
K13K,Eureka Municipal Airport,37.851600646972656,-96.29170227050781,1206
K14A,Lake Norman Airpark,35.612998962402344,-80.89939880371094,839
K14F,Hamlin Airport,32.849674,-100.136648,1753
K14G,Fremont Airport,41.333099365234375,-83.16120147705078,663
K14J,Carl Folsom Airport,31.41,-86.090302,258
K14M,Hollandale Municipal Airport,33.18259811401367,-90.83070373535156,114
K14Y,Todd Field,45.89860153198242,-94.8739013671875,1333
K15F,Haskell Municipal Airport,33.19150161743164,-99.71790313720703,1625
K15J,Cook County Airport,31.137800216675,-83.453300476074,236
K15M,Iuka Airport,34.772300720214844,-88.16590118408203,630
K16D,Perham Municipal Airport,46.60409927368164,-95.60449981689453,1371
K16G,Seneca County Airport,41.09410095214844,-83.2125015258789,786
K16J,Dawson Municipal Airport,31.74329948425293,-84.41929626464844,333
K17,Montezuma Municipal Airport,37.589698791503906,-100.46900177001953,2780
K17G,Port-Bucyrus-Crawford County Airport,40.78160095210001,-82.9748001099,1003
K17J,Donalsonville Municipal Airport,31.00690079,-84.87760162,148
K17K,Boise City Airport,36.77429962158203,-102.51000213623047,4178
K17M,Magee Municipal Airport,31.862699508666992,-89.80059814453125,555
K17N,Cross Keys Airport,39.705501556396484,-75.03299713134766,162
K17V,Haxtun Municipal Airport,40.625,-102.60299682617188,4035
K18A,Franklin County Airport,34.34009933,-83.13349915,890
K18I,Mc Creary County Airport,36.6958999634,-84.3916015625,1370
K18V,Platte Valley Airpark,40.0999984741,-104.700996399,4965
K19A,Jackson County Airport,34.174,-83.560699,951
K19M,C. A. Moore Airport,33.125499725299996,-90.0255966187,340
K19N,Camden County Airport,39.7784,-74.9478,149
K19S,Sublette Municipal Airport,37.49140167,-100.8300018,2908
K1A0,Dallas Bay Sky Park Airport,35.187599182128906,-85.17769622802734,690
K1A3,Martin Campbell Field,35.01620102,-84.34629822,1790
K1A4,Logan Field,31.102800369262695,-86.06220245361328,200
K1A5,Macon County Airport,35.222599029541016,-83.41899871826172,2020
K1A6,Middlesboro-Bell County Airport,36.6105995178,-83.73739624019998,1154
K1A7,Jackson County Airport,36.400299072265625,-85.6417007446289,515
K1A9,Prattville - Grouby Field,32.4387016296,-86.51270294190002,225
K1B0,Dexter Regional Airport,45.00410079956055,-69.23699951171875,533
K1B1,Columbia County Airport,42.2913017273,-73.7102966309,198
K1B2,Katama Airpark,41.3582992554,-70.5243988037,18
K1B6,Hopedale Industrial Park Airport,42.10649871826172,-71.51010131835938,269
K1B9,Mansfield Municipal Airport,42.000099182099994,-71.1968002319,122
K1BT,Bonne Terre Municipal Airport,37.919055,-90.57525,922
K1C1,Paxton Airport,40.44900131225586,-88.12770080566406,779
K1C2,Howell New Lenox Airport,41.479801177978516,-87.92130279541016,753
K1C5,Bolingbrook's Clow International Airport,41.695999145500004,-88.12920379639999,670
K1D1,Milbank Municipal Airport,45.23049927,-96.56600189,1118
K1D3,Platte Municipal Airport,43.40330123901367,-98.82949829101562,1618
K1D7,The Sigurd Anderson Airport,45.292598724365234,-97.51380157470703,1854
K1D8,Redfield Municipal Airport,44.86249923706055,-98.52950286865234,1307
K1F0,Ardmore Downtown Executive Airport,34.1469993591,-97.1227035522,844
K1F4,Madill Municipal Airport,34.14039993286133,-96.81199645996094,890
K1F5,Hoxie-Sheridan County Airport,39.3648986816,-100.439002991,2733
K1G0,Wood County Airport,41.39099884033203,-83.63009643554688,673
K1G1,Elyria Airport,41.33150100708008,-82.10030364990234,758
K1G3,Kent State University Airport,41.15140152,-81.4151001,1134
K1G4,Grand Canyon West Airport,35.990398407,-113.816001892,4825
K1G5,Medina Municipal Airport,41.131401062,-81.7649002075,1190
K1H0,Creve Coeur Airport,38.7267990112,-90.50830078119999,463
K1H2,Effingham County Memorial Airport,39.07040023803711,-88.53350067138672,587
K1H3,Linn State Technical College Airport,38.4715003967,-91.8152999878,952
K1H5,Willow Springs Memorial Airport,36.989601135253906,-91.9541015625,1247
K1H8,Casey Municipal Airport,39.3025016784668,-88.00409698486328,654
K1I5,Freehold Airport,42.36429977416992,-74.06600189208984,440
K1I7,Clinton Airport,39.712151,-87.400407,526
K1J0,Tri-County Airport,30.8458003998,-85.60140228270001,85
K1J6,Bob Lee Flight Strip,29.104400634765625,-81.3136978149414,94
K1K2,Lindsay Municipal Airport,34.849300384521484,-97.58529663085938,968
K1K4,David Jay Perry Airport,35.15510177612305,-97.47039794921875,1168
K1K7,Fredonia Airport,37.579200744628906,-95.83779907226562,880
K1K9,Satanta Municipal Airport,37.45640182495117,-100.98400115966797,2976
K1L0,Port of South Louisiana Executive Regional Airport,30.087,-90.582602,7
K1L1,Lincoln County Airport,37.7874984741,-114.42199707,4828
K1L3,Searchlight Airport,35.444400787353516,-114.90899658203125,3410
K1L7,Escalante Municipal Airport,37.74530029296875,-111.56999969482422,5733
K1L8,General Dick Stout Field,37.13890075683594,-113.30599975585938,3347
K1L9,Parowan Airport,37.85969924926758,-112.81600189208984,5930
K1M2,Belzoni Municipal Airport,33.145198822021484,-90.51529693603516,110
K1M4,Posey Field,34.28030014038086,-87.60040283203125,930
K1M5,Portland Municipal Airport,36.59280014038086,-86.47669982910156,818
K1M9,Lake Barkley State Park Airport,36.8177986145,-87.90750122070001,570
K1MO,Mountain Grove Memorial Airport,37.12070083618164,-92.31120300292969,1476
K1N1,Sandia Airpark Estates East Airport,35.09450149536133,-106.16699981689453,6550
K1N7,Blairstown Airport,40.9710998535,-74.99749755859999,372
K1O1,Grandfield Municipal Airport,34.23759841918945,-98.74199676513672,1128
K1O2,Lampson Field,38.9906005859,-122.901000977,1379
K1O3,Lodi Airport,38.20240021,-121.2679977,60
K1O4,Thomas Municipal Airport,35.73440170288086,-98.7302017211914,1731
K1O5,Montague-Yreka Rohrer Field,41.7304000854,-122.54599762,2527
K1O8,Tipton Municipal Airport,34.45859909057617,-99.17130279541016,1248
K1Q2,Spaulding Airport,40.650299072265625,-120.76899719238281,5116
K1Q4,New Jerusalem Airport,37.679100036621094,-121.30000305175781,62
K1R1,Jena Airport,31.65690040588379,-92.15750122070312,212
K1R4,Woodworth Airport,31.126399993896484,-92.50140380859375,140
K1R7,Brookhaven-Lincoln County Airport,31.605800628699996,-90.40930175780001,489
K1R8,Bay Minette Municipal Airport,30.870399475097656,-87.81929779052734,248
K1S3,Tillitt Field,46.27109909057617,-106.6240005493164,2727
K1S5,Sunnyside Municipal Airport,46.32709885,-119.9700012,768
K1S9,Sand Canyon Airport,48.3140983581543,-117.74299621582031,2084
K1T7,Kestrel Airpark,29.812700271606445,-98.42530059814453,1250
K1U2,Mud Lake/West Jefferson County/ Airport,43.848201751699996,-112.499000549,4787
K1U7,Bear Lake County Airport,42.24720001220703,-111.33799743652344,5928
K1V0,Navajo Lake Airport,36.80830001831055,-107.6510009765625,6475
K1V2,Grant County Airport,42.0093994140625,-101.76899719238281,3710
K1V6,Fremont County Airport,38.428001403799996,-105.106002808,5439
K1V8,Leach Airport,37.784698486328125,-106.03800201416016,7598
K1X1,Higgins-Lipscomb County Airport,36.105899810800004,-100.026000977,2566
K20A,Robbins Field,33.9723014831543,-86.37940216064453,1140
K20M,Macon Municipal Airport,33.13349914550781,-88.53559875488281,238
K20N,Kingston-Ulster Airport,41.9852981567,-73.96410369870001,149
K20R,Crystal City Municipal Airport,28.697799682617188,-99.81780242919922,608
K20U,Beach Airport,46.925201416015625,-103.98200225830078,2756
K20V,Mc Elroy Airfield,40.0536994934,-106.369003296,7411
K21,Rouses Point Seaplane Base,44.99169921875,-73.363502502441,95
K21D,Lake Elmo Airport,44.99750137,-92.85569763,933
K21F,Jacksboro Municipal Airport,33.22869873046875,-98.14669799804688,1055
K22F,Kent County Airport,33.2293014526,-100.569000244,2006
K22I,Vinton County Airport,39.32809829711914,-82.44180297851562,958
K22M,Pontotoc County Airport,34.275901794433594,-89.03839874267578,440
K22N,Jake Arner Memorial Airport,40.80950164794922,-75.7614974975586,534
K22S,Paisley Airport,42.717899322509766,-120.56300354003906,4395
K22W,[Duplicate] Transylvania County Airport,-0.7,0.0,2110
K23,Cooperstown-Westville Airport,42.6291999817,-74.89099884030001,1260
K23M,Clarke County Airport,32.0849,-88.738897,320
K23R,Devine Municipal Airport,29.138399124145508,-98.94190216064453,703
K24A,Jackson County Airport,35.31740188598633,-83.20989990234375,2857
K24F,Cypress River Airport,32.74599838256836,-94.30439758300781,221
K24J,Suwannee County Airport,30.300100326538086,-83.02469635009766,104
K24N,Jicarilla Apache Nation Airport,36.82849884033203,-106.88400268554688,7618
K24R,Dilley Airpark,28.68549919128418,-99.18920135498047,542
K25D,Forest Lake Airport,45.24769973754883,-92.99440002441406,925
K25J,Cuthbert-Randolph Airport,31.700199127199998,-84.82489776610001,457
K25M,Ripley Airport,34.7223014831543,-89.01509857177734,465
K26,Carrollton Memorial Airport,39.3114013671875,-93.50659942626953,670
K26A,Ashland/Lineville Airport,33.2876014709,-85.8041000366,1065
K26R,Jackson County Airport,29.000999450683594,-96.58200073242188,61
K26U,Mc Dermitt State Airport,42.002101898199996,-117.722999573,4478
K27,Burrello-Mechanicville Airport,42.89310073852539,-73.66840362548828,195
K27A,Elbert-County-Patz Field,34.095199585,-82.81590271,603
K27K,Georgetown-Scott County Regional Airport,38.234405,-84.434702,947
K27R,Eldorado Airport,30.862199783325195,-100.61100006103516,2448
K28J,Palatka Municipal - Lt. Kay Larkin Field,29.65859985,-81.68890381,48
K29,Council Airport,64.89790344240001,-163.70300293,85
K29D,Grove City Airport,41.145999908447266,-80.1677017211914,1371
K29M,Waite Field Airport,42.8907222,-83.9320419,812
K29S,Gardiner Airport,45.04990005493164,-110.74700164794922,5286
K2A0,Mark Anton Airport,35.48619842529297,-84.93109893798828,719
K2A1,Jamestown Municipal Airport,36.349700927734375,-84.94670104980469,1694
K2A2,Holley Mountain Airpark,35.650699615478516,-92.40380096435547,1269
K2A5,Causey Airport,35.911800384521484,-79.61759948730469,723
K2A6,Holly Grove Municipal Airport,34.582401275634766,-91.16519927978516,176
K2B3,Parlin Field,43.388099670410156,-72.18930053710938,784
K2B7,Pittsfield Municipal Airport,44.76850128173828,-69.37439727783203,198
K2C8,Cavalier Municipal Airport,48.78379821777344,-97.63189697265625,892
K2CB,Camp Blanding Army Air Field/NG Airfield,29.952499389599996,-81.9796981812,196
K2D5,Oakes Municipal Airport,46.17300033569336,-98.07990264892578,1335
K2E3,Cluck Ranch Airport,36.17720031738281,-101.69400024414062,3423
K2E5,Dell City Municipal Airport,31.947599,-105.192001,3701
K2E7,Mc Lean Gray County Airport,35.2470016479,-100.543998718,2835
K2F0,Iraan Municipal Airport,30.9057006836,-101.891998291,2200
K2F1,Shamrock Municipal Airport,35.23619842529297,-100.18499755859375,2369
K2F4,T Bar Airport,33.176998138427734,-101.81999969482422,3126
K2F5,Lamesa Municipal Airport,32.756302,-101.919997,2999
K2F7,Commerce Municipal Airport,33.29290008544922,-95.89640045166016,515
K2G1,Concord Airpark,41.66699981689453,-81.19719696044922,999
K2G2,Jefferson County Airpark,40.35940170288086,-80.70010375976562,1196
K2G4,Garrett County Airport,39.580299377441,-79.339401245117,2933
K2G9,Somerset County Airport,40.03910065,-79.01460266,2275
K2GC,Grays Creek Airport,34.893699645996094,-78.84349822998047,160
K2H0,Shelby County Airport,39.410400390599996,-88.8453979492,618
K2H2,Jerry Sumners Sr Aurora Municipal Airport,36.96229934692383,-93.69529724121094,1434
K2H9,Rolette Airport,48.665298,-99.853203,1620
K2I0,Madisonville Municipal Airport,37.35499954223633,-87.39959716796875,439
K2I3,Rough River State Park Airport,37.610022,-86.507262,577
K2IS,Airglades Airport,26.742000579833984,-81.04979705810547,20
K2J2,Liberty County Airport,31.78459930419922,-81.64119720458984,98
K2J3,Louisville Municipal Airport,32.98649978637695,-82.38569641113281,328
K2J5,Millen Airport,32.89360046386719,-81.96540069580078,237
K2K3,Stanton County Municipal Airport,37.583039,-101.733002,3324
K2K4,Scott Field,34.892601013183594,-99.5281982421875,1643
K2K7,Neodesha Municipal Airport,37.43539810180664,-95.64610290527344,841
K2K9,Haskell Airport,35.83290100097656,-95.66739654541016,588
K2L0,Pineville Municipal Airport,31.346099853516,-92.443603515625,100
K2M0,Princeton Caldwell County Airport,37.1151008605957,-87.85710144042969,584
K2M2,Lawrenceburg Lawrence County Airport,35.23429870605469,-87.25789642333984,936
K2M4,G. V. Montgomery Airport,32.3535003662,-89.4887008667,517
K2M8,Charles W. Baker Airport,35.2789993286,-89.93150329590001,247
K2MO,Mount Vernon Municipal Airport,37.06840133666992,-93.88490295410156,1244
K2O1,Gansner Field,39.943902,-120.945,3415
K2O3,Angwin Parrett Field,38.57849884033203,-122.43499755859375,1848
K2O6,Chowchilla Airport,37.11240005493164,-120.24700164794922,242
K2O7,Independence Airport,36.81380081,-118.2050018,3908
K2O8,Hinton Municipal Airport,35.50590134,-98.3423996,1587
K2R0,Waynesboro Municipal Airport,31.645999908447266,-88.63480377197266,164
K2R1,Le Maire Memorial Airport,29.899099349975586,-91.66600036621094,14
K2R2,Hendricks County Gordon Graham Field,39.74810028,-86.47380066,897
K2R4,Peter Prince Field,30.63759994506836,-86.99369812011719,82
K2R5,St Elmo Airport,30.50189972,-88.27510071,132
K2R6,Bunkie Municipal Airport,30.95669937133789,-92.23410034179688,62
K2R7,Franklinton Airport,30.819400787353516,-90.11250305175781,175
K2R9,Karnes County Airport,28.825000762939453,-97.8656005859375,289
K2RR,River Ranch Resort Airport,27.78219985961914,-81.2052993774414,55
K2S4,Warden Airport,46.9654006958,-119.066001892,1276
K2S7,Chiloquin State Airport,42.579440493,-121.879062653,4217
K2S8,Wilbur Airport,47.75419998168945,-118.74299621582031,2182
K2S9,Willapa Harbor Airport,46.697601318359375,-123.822998046875,13
K2T1,Muleshoe Municipal Airport,34.18510055541992,-102.64099884033203,3779
K2V5,Wray Municipal Airport,40.10029984,-102.2409973,3667
K2V6,Yuma Municipal Airport,40.104198455799995,-102.712997437,4136
K2W5,Maryland Airport,38.60049819946289,-77.072998046875,170
K2W6,St. Mary's County Regional Airport,38.3153991699,-76.5501022339,142
K2Y4,Rockwell City Municipal Airport,42.38750076293945,-94.61799621582031,1217
K30,Heber Airpark,43.18339920043945,-73.6332015991211,230
K30K,Ingalls Municipal Airport,37.90700149536133,-100.53099822998047,2814
K31,Sharon Airport,42.77840042114258,-74.57759857177734,1508
K31E,Eagles Nest Airport,39.665401458740234,-74.30789947509766,35
K32A,Danville Municipal Airport,35.08700180053711,-93.42749786376953,387
K32S,Stevensville Airport,46.52510070800781,-114.0530014038086,3610
K33J,Geneva Municipal Airport,31.052579,-85.868715,101
K33K,Kinsley Municipal Airport,37.909000396728516,-99.4030990600586,2171
K33M,Water Valley Municipal Airport,34.16680145263672,-89.68620300292969,270
K33N,Delaware Airpark,39.21839904789999,-75.59639739990001,56
K33R,Groveton Trinity County Airport,31.08489990234375,-95.16410064697266,340
K33S,Pru Field,47.123199462890625,-118.38999938964844,1801
K33U,Dutch John Airport,40.917701721191406,-109.39099884033203,6561
K33V,Walden Jackson County Airport,40.75040054321289,-106.27100372314453,8153
K34,Gardner Municipal Airport,38.80690002441406,-94.9561996459961,1042
K34M,Campbell Municipal Airport,36.48619842529297,-90.0083999633789,284
K34R,Hallettsville Municipal Airport,29.389999389648438,-96.95610046386719,278
K35A,"Union County, Troy Shelton Field",34.6870002747,-81.64119720459999,610
K35D,Padgham Field,42.53099823,-85.82510376,706
K35S,Wasco State Airport,45.58940124511719,-120.67400360107422,1503
K36K,Lakin Airport,37.96950149536133,-101.25499725341797,3077
K36S,Happy Camp Airport,41.79069900512695,-123.38899993896484,1209
K36U,Heber City Municipal Airport - Russ McDonald Field,40.4818,-111.429001,5637
K37F,Munday Municipal Airport,33.484798431396484,-99.58619689941406,1473
K37K,Falconhead Airport,33.92599868774414,-97.28559875488281,690
K37T,Calico Rock Izard County Airport,36.16450119018555,-92.14450073242188,733
K37V,Arapahoe Municipal Airport,40.339500427199994,-99.90650177,2270
K38D,Salem Airpark Inc Airport,40.94810104370117,-80.86209869384766,1162
K38J,Hemingway Stuckey Airport,33.728599548339844,-79.51599884033203,54
K38S,Deer Lodge City County Airport,46.38819885,-112.7659988,4693
K38U,Wayne Wonderland Airport,38.36249923706055,-111.59600067138672,7023
K39N,Princeton Airport,40.3992004395,-74.6588973999,128
K3A1,Cullman Regional Airport-Folsom Field,34.2687,-86.858002,969
K3A2,New Tazewell Municipal Airport,36.410099029541016,-83.55549621582031,1179
K3A4,Southeast Greensboro Airport,35.94200134277344,-79.68550109863281,737
K3A7,Eutaw Municipal Airport,32.82099914550781,-87.86250305175781,170
K3AK,Dry Bay Airport,59.16435,-138.4894,43
K3AU,Augusta Municipal Airport,37.671600341796875,-97.0779037475586,1328
K3B0,Southbridge Municipal Airport,42.10089874267578,-72.03839874267578,699
K3B1,Greenville Municipal Airport,45.4630012512207,-69.55159759521484,1401
K3B4,Littlebrook Air Park,43.14310073852539,-70.77230072021484,130
K3B5,Twitchell Airport,44.188899993896484,-70.23290252685547,356
K3BS,Jack Barstow Airport,43.663054,-84.258606,635
K3C8,Calverton Executive Airpark,40.9151000977,-72.7919006348,75
K3CK,Lake in the Hills Airport,42.2067985534668,-88.322998046875,888
K3CM,James Clements Municipal Airport,43.5469017,-83.89550018,585
K3CU,Cable Union Airport,46.19419860839844,-91.24639892578125,1360
K3DW,Downtown Airport,37.22169876098633,-93.2477035522461,1374
K3E0,Miami Roberts County Airport,35.71390151977539,-100.60299682617188,2720
K3F2,Cisco Municipal Airport,32.41680145263672,-99.00029754638672,1612
K3F3,C E 'Rusty' Williams Airport,32.0735015869,-93.7655029297,324
K3F4,Vivian Airport,32.86130142211914,-94.01020050048828,260
K3F6,Dan E Richards Municipal Airport,34.027599,-100.281998,1860
K3F7,Jones Memorial Airport,35.80690002441406,-96.4218978881836,851
K3F9,Mineola Wisener Field,32.676700592041016,-95.51080322265625,429
K3FU,Faulkton Municipal Airport,45.031898498535156,-99.1156997680664,1569
K3G1,Erie County Airport,42.044498443603516,-79.85389709472656,1450
K3G2,Grygla Municipal Mel Wilkens Field,48.29669952392578,-95.627197265625,1177
K3G3,Wadsworth Municipal Airport,41.00310134887695,-81.75650024414062,974
K3G4,Ashland County Airport,40.90299987792969,-82.25559997558594,1206
K3G5,Dawson Army Air Field,39.45009994506836,-79.66639709472656,1265
K3G6,Tri City Airport,40.90599822998047,-81.0,1188
K3GM,Grand Haven Memorial Airpark,43.034000396728516,-86.19819641113281,604
K3GV,East Kansas City Airport,39.01559829711914,-94.21330261230469,835
K3H4,Hillsboro Municipal Airport,47.35940170288086,-97.0604019165039,905
K3HO,Hobart Sky Ranch Airport,41.55419921875,-87.26249694824219,644
K3I2,Mason County Airport,38.91460037231445,-82.09860229492188,643
K3I3,Sky King Airport,39.54779815673828,-87.3772964477539,496
K3I4,Richwood Municipal Airport,38.258399963378906,-80.65070343017578,2486
K3I7,Dayton-Phillipsburg Airport,39.913305,-84.400398,1031
K3J0,Hampton County Airport,32.8665,-81.081001,113
K3J1,Ridgeland-Claude Dean Airport,32.492699,-80.992302,79
K3J7,Greene County Regional Airport,33.59769821166992,-83.13899993896484,677
K3JC,Freeman Field,39.04330062866211,-96.84329986572266,1101
K3K3,Syracuse Hamilton County Municipal Airport,37.99169921875,-101.74600219726562,3322
K3K6,St Louis Metro East Shafer Field,38.7328987121582,-89.80660247802734,477
K3K7,Mark Hoard Memorial Airport,38.457000732421875,-101.35299682617188,3303
K3K8,Comanche County Airport,37.22809982299805,-99.33090209960938,2085
K3L2,Sky Ranch Airport,35.7952995300293,-115.62699890136719,2599
K3LF,Litchfield Municipal Airport,39.162498474121094,-89.67459869384766,690
K3M2,Double Springs-Winston County Airport,34.144501,-87.327797,753
K3M3,Collegedale Municipal Airport,35.0430984497,-85.02189636230001,860
K3M7,Lafayette Municipal Airport,36.51839828,-86.0582962,969
K3M8,North Pickens Airport,33.38679885864258,-88.00659942626953,237
K3M9,Warren Municipal Airport,33.56039810180664,-92.08540344238281,235
K3MY,Mount Hawley Auxiliary Airport,40.79529953,-89.61340332,786
